Doc ID      Type            Part ref.           Description
-----------------------------------------------------------------------------------------------------
CLK-SCH-01  Schematic       CLK-PC-01           Led Matrix display board (Model A)
CLK-SCH-02  Schematic       CLK-PC-02           Touch keypad
CLK-SCH-03  Schematic       CLK-PC-03           Motherboard
CLK-SCH-04  Schematic       CLK-PC-04           Left panel PCB
CLK-SCH-05  Schematic       CLK-PC-05           Display (model B) - Segments PCB Schematic
CLK-SCH-06  Schematic       CLK-PC-06           Display (model B) - Dots PCB Schematic
CLK-SCH-07  Schematic       CLK-PC-07           Display (model B) - Base PCB Schematic
CLK-DWG-01  Mech. Drawing   CLK-PC-01           Led Matrix display board dimensions
CLK-DWG-02  Mech. Drawing   CLK-PC-02           Touch keypad dimensions
CLK-DWG-03  Mech. Drawing   CLK-PC-03           Motherboard dimensions
CLK-DWG-04  Mech. Drawing   --                  Expansion module PCB dimensions
CLK-DWG-05  Mech. Drawing   CLK-PC-04           Left panel PCB dimensions
CLK-DWG-06  Mech. Drawing   CLK-STR-01          Display base
CLK-DWG-07  Mech. Drawing   CLK-OVL-01          Keypad overlay
CLK-DWG-08  Mech. Drawing   CLK-PC-05           Display (model B) - Segments PCB
CLK-DWG-09  Mech. Drawing   CLK-PC-06           Display (model B) - Dots PCB
CLK-DWG-10  Mech. Drawing   CLK-PC-07           Display (model B) - Base PCB
CLK-DWG-20  Mech. Drawing   CLK-AS-05           Motherboard assembly
CLK-DWG-21  Mech. Drawing   CLK-AS-04           Left panel PCB assembly
CLK-DWG-22  Mech. Drawing   CLK-AS-03           Display (model A) - LED matrix
CLK-DWG-23  Mech. Drawing   CLK-AS-01           Display (model A) - LED matrix PCB assembly
CLK-DWG-24  Mech. Drawing   CLK-AS-02           Display (model A) - Assembly
CLK-DWG-25  Mech. Drawing   --                  Final assembly (Model A)
CLK-DWG-26  Mech. Drawing   CLK-AS-07           Display (model B) - Segment PCB Assembly
CLK-DWG-27  Mech. Drawing   CLK-AS-08           Display (model B) - Base PCB Assembly
CLK-DWG-28  Mech. Drawing   CLK-AS-06           Display (model B) - Assembly
CLK-DWG-29  Mech. Drawing   CLK-AS-09           Display (model B) - Dots PCB Assembly
CLK-DWG-30  Mech. Drawing   --                  Final assembly (Model B)
CLK-SCH-50  Schematic       TST-CLK-PC-03-AUD   Audio subsystem test PCB
CLK-SCH-51  Schematic       CLK-PC-01-PROG      LED matrix PCB programmer adapter
CLK-SCH-52  Schematic       TST-CLK-PC-03-PSU   PSU test PCB
CLK-SCH-53  Schematic       CLK-PC-10           USB ARIA debug port adapter


